    70/199     9.54G   0.05892    0.0991    0.0095    0.1675        33       640    0.3159    0.3892    0.3222   0.08675   0.05696   0.07105   0.01159
    71/199     9.54G   0.05882   0.09913  0.009444    0.1674        21       640    0.3263    0.3852     0.309   0.08312   0.05725   0.07072    0.0126
    72/199     9.54G   0.05863    0.1002  0.009424    0.1683        21       640    0.3259    0.3671    0.3348   0.09131   0.05702   0.06978   0.01225
    73/199     9.54G   0.05872   0.09942  0.009183    0.1673        28       640    0.2838    0.4421    0.3292   0.09083    0.0571   0.06935   0.01154
    74/199     9.54G   0.05838   0.09976  0.009073    0.1672        32       640    0.3221    0.3592    0.3184   0.08707    0.0569   0.07037   0.01182
    75/199     9.54G   0.05868   0.09911  0.009369    0.1672        37       640    0.2765    0.4823    0.3301   0.09078   0.05651   0.07042   0.01145
    76/199     9.54G   0.05886   0.09943  0.009495    0.1678        30       640    0.2977    0.3751    0.3188   0.08738   0.05687    0.0705   0.01215
    77/199     9.54G   0.05877    0.1014  0.009311    0.1694        49       640    0.2812    0.4085    0.3251   0.09032   0.05641   0.07042   0.01261
    78/199     9.54G   0.05854     0.099  0.009433     0.167        13       640    0.2746    0.4208    0.3211   0.08951   0.05655   0.06988   0.01246
    79/199     9.54G   0.05865   0.09983  0.009335    0.1678        19       640    0.2923     0.412    0.3177   0.08833   0.05698   0.06966   0.01325
    80/199     9.54G    0.0586    0.1004  0.009279    0.1683        54       640    0.2918    0.4544    0.3206    0.0867   0.05683    0.0716   0.01076
    81/199     9.54G   0.05831   0.09878  0.009183    0.1663        30       640    0.2705    0.4605    0.3199   0.08777   0.05688   0.06966    0.0116
    82/199     9.54G   0.05826    0.1005  0.008946    0.1678        25       640    0.2938    0.4495    0.3359   0.09471   0.05679   0.06954   0.01209
    83/199     9.54G   0.05861   0.09989  0.009435    0.1679        33       640    0.3016    0.4448    0.3352   0.09305   0.05658   0.06982    0.0121
    84/199     9.54G   0.05854    0.1004  0.009102     0.168        29       640    0.2956    0.4387    0.3294   0.09138   0.05657    0.0696   0.01128
    85/199     9.54G   0.05834   0.09939  0.009008    0.1667        35       640     0.308    0.4447    0.3369   0.09324   0.05688   0.06912   0.01113
    86/199     9.77G   0.05823   0.09997  0.008973    0.1672        29       640    0.3233    0.4175    0.3408   0.09359   0.05661   0.06898   0.01164
    87/199     9.77G   0.05853   0.09996  0.009385    0.1679        23       640    0.3104    0.4169    0.3401   0.09505   0.05621    0.0691   0.01131
    88/199     9.77G    0.0582   0.09882  0.009113    0.1661        31       640    0.2841      0.39    0.3221   0.09004   0.05639   0.06955   0.01279
    89/199     9.77G   0.05826   0.09868  0.008991    0.1659        12       640    0.2837    0.4251    0.3305   0.09229   0.05664   0.06922   0.01253
    90/199     9.77G   0.05829       0.1  0.008963    0.1673        21       640    0.2781    0.4241    0.3188   0.08764   0.05652   0.07021   0.01216
    91/199     9.77G   0.05802   0.09934  0.008944    0.1663        36       640    0.3223    0.3965    0.3322    0.0925   0.05642   0.06967   0.01176
    92/199     9.77G   0.05824   0.09914  0.008942    0.1663        16       640    0.3346    0.3974    0.3392   0.09472   0.05615   0.06924   0.01137
    93/199     9.77G   0.05805   0.09893  0.008985     0.166        17       640    0.3102     0.441    0.3424   0.09583   0.05599    0.0694   0.01107
    94/199     9.77G    0.0577   0.09756  0.008817    0.1641         9       640    0.3225    0.4104    0.3427   0.09582   0.05611   0.06914   0.01166
    95/199     9.77G   0.05808   0.09954  0.009179    0.1668        33       640    0.2926    0.4438     0.337   0.09353   0.05604   0.06917   0.01172
    96/199     9.77G   0.05799   0.09987  0.008712    0.1666        39       640    0.3132     0.394    0.3306   0.09196   0.05603    0.0694   0.01256
    97/199     9.77G   0.05769   0.09877  0.008832    0.1653        19       640    0.2938    0.4405     0.334   0.09383   0.05617   0.06939   0.01226
    98/199     9.77G   0.05766    0.0994  0.008793    0.1659        22       640    0.2741    0.4669    0.3307   0.09219   0.05616   0.06985   0.01218
    99/199     9.77G   0.05764   0.09809  0.008497    0.1642         9       640    0.2877    0.4411    0.3361   0.09374   0.05608   0.06958   0.01227
